Conteúdo da Mensagem; Minuta de Resposta;Assunto/Encaminhamento
FGTS;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Ouvidoria da Caixa Econômica Federal por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f  ou diretamente pelos canais indicados no Portal Institucional - https://www.caixa.gov.br/faleconosco/Paginas/default.aspx

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Caixa Econômica Federal
Direitos humanos, Criança, adolescente, idoso, LGBTQIA+, ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério dos Direitos Humanos e da Cidadania por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f  ou pelos contatos disponíveis no Portal Institucional - https://www.gov.br/mdh/pt-br/composicao/quem-e-quem

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério dos Direitos Humanos e da Cidadania (MDHC)
Bolsa Atleta, esportes.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Esporte por meio dos canais Institucionais: https://www.gov.br/esporte/pt-br/canais_atendimento/ouvidoria

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério do Esporte
Aplicativo, APP;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Em relação ao aplicativo Planalto Legis, informamos que nossa equipe de Tecnologia da Informação (TI) foi informada sobre a dificuldade de instalação relatada por alguns usuários e já iniciou os procedimentos necessários para a atualização.

Estamos à disposição para quaisquer esclarecimentos.
";APP Planalto Legis
SENATRAN, CONTRAN, Transportes ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério dos Transportes por meio dos canais indicados: https://www.gov.br/transportes/pt-br/ouvidoria/pagina-inicial-ouvidoria
Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério dos Transportes
Rádio Nacional, Rádio Amazônia, Tv Brasil, Rádio MEC, Agência Brasil ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Empresa Brasil de Comunicação (EBC) por meio do Fale Conosco - https://www.ebc.com.br/fale-conosco - ou Ouvidoria - https://www.ebc.com.br/ouvidoria?_gl=1*y8iu1i*_ga*MTQyMTk2Njg1Ny4xNjgzNzMyNzUw*_ga_TGW7R30M20*MTY4NTUzNTk3OS4xLjEuMTY4NTUzNjAyOS4wLjAuMA..

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Empresa Brasil de Comunicação
Manual de Redação ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União. Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não realizamos a distribuição do Manual de Redação da Presidência da República impresso e a versão on line (.pdf) está disponível para utilização ou impressão, no seguinte endereço: http://www4.planalto.gov.br/centrodeestudos/assuntos/manual-de-redacao-da-presidencia-da-republica

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,


";Manual de Redação
Agência Nacional do Petróleo - ANP, Comercialização de óleo e derivados;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP por meio do  linK: https://www.gov.br/anp/pt-br/canais_atendimento/fale-conosco

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";ANP
Base de dados do Portal da Legislação;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Em atenção à sua solicitação informamos que  os procedimentos de atualização e armazenamento das informações do Portal da Legislação são bastante simples.
Para a atualização do Portal da Legislação, são utilizados os seguintes tipos de programas ou ferramentas:

1. Editor de arquivos em formato HTML;
2. Leitor e editor de arquivos em formato Portable Document Format - PDFs;
3. Programa de transferência de arquivos (File Transfer Protocol - FTP);
4. Gerenciador de conteúdo web; e
5. Diretórios de armazenamento de arquivos.

Os arquivos são criados em um programa editor de HTML. As alterações decorrentes de inclusões, revogações ou alterações legislativas também são realizadas em um editor de HTML, manualmente, pela equipe do Centro de Estudos Jurídicos.

O conteúdo do Portal da Legislação é gerenciado pelo sistema de gerenciamento de conteúdo web Plone. É um sistema em software livre, amplamente utilizado nos portais do Governo Federal. Outras informações sobre o Plone e instalação são acessíveis na página http://plone.org/. Por ser em software livre, existem comunidades colaborativas para o Plone que contribuem com melhorias de código, de infraestrutura, de navegabilidade, de usabilidade, de acessibilidade e de outros aspectos. No Brasil, existe uma comunidade que trata especificamente da utilização do Plone por governos. Mais informações sobre essa comunidade podem ser encontradas em http://softwarelivre.gov.br/plone.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Portal da Legislação - Base de dados
Comissão de Valores Mobiliários - CVM. Regulamento, portarias. ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Comissão de Valores Mobiliários por meio do canal FALA.BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";CVM
Saúde Pública, agentes comunitarios de saude, portarias, normas, SUS, CAPS.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Saúde por meio do canais oficiais: https://www.gov.br/saude/pt-br/canais-de-atendimento/ouvidoria-do-sus

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Ministério da Saúde
Ministério da Gestão e da Inovação em Serviços Públicos (MGI), Reajuste de servidor, gestão, inovação em servicos púbicos, etc.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Gestão e da Inovação em Serviços Públicos por meio do canais oficiais: https://www.gov.br/gestao/pt-br/canais_atendimento/ouvidoria/servicos/servi_ouv

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério da Gestão e da Inovação em Serviços Públicos
Segurança privada, imigração, cidadania, armas. Polícia.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério da Justiça e Segurança Pública por meio do Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério da Justiça e Segurança Pública
Aviação Civil;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Aviação Civil por meio do  Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";ANAC
Serpentário, SINIR, clima, meio ambiente, ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Meio Ambiente e Mudança Climática por meio do Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério do Meio Ambiente
Bloqueio de IP;"Prezado(a)s,

Encaminhamos mensagem de e-mail com alegação de bloqueio de IP para verificação.

Atenciosamente,
";postmaster@presidencia.gov.br
Validação cadastral, servidores, aposentados, pensionistas;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Central SIPEC - https://www.gov.br/servidor/pt-br/canais_atendimento/central-sipec

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Central SIPEC
Ministério das Relações Exteriores, Óbito no Exterior ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério das Relações Exteriores por meio do Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Itamaraty
Agência Nacional de Saúde Suplementar, Saúde Suplementar, Plano de Saúde.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Saúde Suplementar por meio do  linK: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";ANS
"Agência Nacional de Energia Elétrica - ANEEL; Reclamação sobre conta de luz";"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Energia Elétrica - ANEEL por meio do linK: https://www.gov.br/aneel/pt-br/canais_atendimento

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";ANEEL
Itamaraty, Visto de visitante para estrangeiro.;"Dear,

The Center of Juridical Studies is responsible for the insertion of acts in the Law Report Base of the Portal da Legislação. We make available in our Portal all the Federal Legislation promulgated by Presidents of the Republic and Constitutional Amendments already published in the Official Gazette of the Union.

It is not for the Center of Juridical Studies of the Presidency to do specific research on normative acts, interpretation of acts, legislate or respond on the topic addressed.

We suggest you contact the Ministry of Foreign Affairs: https://www.gov.br/mre/en/contact-us/

We remain at your disposal for more information.

Best regards,

Center of Juridical Studies of the Presidency Team

";Itamaraty
Agência Nacional de Águas e Saneamento Básico , Águas e Saneamento Básico;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line - http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Nacional de Águas e Saneamento Básico (ANA) por meio do  linK: https://www.gov.br/ana/pt-br/canais_atendimento/ouvidoria

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";ANA
MDIC, Micro Empresa Individual, empresa multinacional, comercio exterior, exportações.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério do Desenvolvimento, Indústria, Comércio e Serviços por meio do link: https://www.gov.br/mdic/pt-br/canais_atendimento/ouvidoria

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Indústria
Empresa multinacional, comercio exterior, importações, exportações., Apex;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a Agência Brasileira de Promoção de Exportações e Investimentos (ApexBrasil ) - https://apexbrasil.com.br/br/pt/sobre-a-apex-brasil.html

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Apex
Apex, Empresa multinacional, comercio exterior, importações, exportações.;"Dear,

The Center of Juridical Studies is responsible for the insertion of acts in the Law Report Base of the Portal da Legislação. We make available in our Portal all the Federal Legislation promulgated by Presidents of the Republic and Constitutional Amendments already published in the Official Gazette of the Union.

It is not for the Center of Juridical Studies of the Presidency to do specific research on normative acts, interpretation of acts, legislate or respond on the topic addressed.

We suggest you contact the Brazilian Trade and Investment Promotion Agency (ApexBrasil) - https://apexbrasil.com.br/br/en.html

We remain at your disposal for more information.

Best regards,

Center of Juridical Studies of the Presidency Team ";Apex
Instituto Nacional da Propriedade Industrial, Marcas, Patentes, propriedade intelectual;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Instituto Nacional da Propriedade Industrial por meio do link - https://www.gov.br/inpi/pt-br/governanca/ouvidoria

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";INPI
Dúvidas sobre o GOV BR, conta prata, ouro, cadastro, certificação, recuperação de senha.;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a equipe de atendimento do GOV.BR  por meio do link - https://www.gov.br/governodigital/pt-br/atendimento-gov.br

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";GOV BR
IPHAN, Tombamento, Patrimônio;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Instituto do Patrimônio Histórico e Artístico Nacional por meio do Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";IPHAN
Reclamação do tamanho da fonte do portal no celular;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

Informamos que sua reclamação será encaminhada para verificação da possibilidade de alteração pelo setor responsável.

Em relação ao tamanho da fonte em celulares, sugerimos utilizar o modo leitura ou modo para computador no navegador do seu aparelho.

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Portal da Legislação
Dúvida sobre solicitação de cidadania Ministério das Relações Exteriores ;"Estimado(a),

Agradecemos por ponerse en contacto con el Centro de Estudios Jurídicos de la Presidencia.

El Centro de Estudios es responsable de la información legislativa vía Portal de la Legislación (http://www4.planalto.gov.br/legislacao). Informamos que la competencia del Centro de Estudios Jurídicos de la Presidencia se restringe a la disponibilidad de los textos integrales de los actos normativos en aquel Portal.

No corresponde al Centro de Estudios Jurídicos de la Presidencia responder sobre el asunto abordado y sugerimos que lleve su sugerencia (o haga su pregunta directamente a la) a lo  Ministerio de Relaciones Exteriores - https://www.gov.br/mre/pt-br?set_language=pt-br

Cordial Saluto.

Equipo de el Centro de Estudios Jurídicos de la Presidencia.
";Itamaraty
Central de atendimento do programa e-social;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com a equipe responsável  por meio do portal e-social - https://www.gov.br/esocial/pt-br/canais_atendimento/contato

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";E-social
Luz para Todos;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line.

Esclarecemos que não compete ao Centro de Estudos Jurídicos da Presidência responder sobre o assunto abordado em seu e-mail e sugerimos que entre em contato diretamente com o Ministério de Minas e Energia pelo link:  https://www.gov.br/mme/pt-br/canais_atendimento/contact-info ou pelo Fala BR: https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,";Ministério de Minas e Energia
Exposição de Motivos. Solicitação externa ao Governo Federal  ;"Prezado(a),

Agradecemos por entrar em contato com o Centro de Estudos Jurídicos da Presidência.

O Centro de Estudos é responsável pelo Portal da Legislação (http://www4.planalto.gov.br/legislacao), com a inserção da informação legislativa promulgada pelo Presidente da República, após publicação no Diário Oficial da União.

Nossa competência se restringe à disponibilização dos textos integrais dos atos normativos para que você possa pesquisar a legislação federal, por data, por termo/palavra-chave ou por tipo de ato  gratuitamente e on-line -  http://www4.planalto.gov.br/legislacao/ .

Esclarecemos que solicitações de Exposições de Motivos devem ser enviadas por meio do Serviço de Informação ao Cidadão (SIC) - https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao.aspx?ReturnUrl=%2f

Estamos à disposição para quaisquer esclarecimentos.

Atenciosamente,
";Exposição de Motivos
Exposição de Motivos, solicitação de órgão público do Governo Federal;"Prezado Chefe de Gabinete,

Encaminhamos solicitação de cópia de Exposição de Motivos apresentada por servidor da Receita Federal do Brasil.

Atenciosamente,


";Exposição de Motivos
